"Year","Country","Patents","Country Name","NeonatalRate","Lifeexpectancy","InfantMortality"
1995,"IT",113,"Italy",4.7,78.17073171,6.4
1995,"JP",731,"Japan",2.2,79.53634146,4.1
1995,"NL",37,"Netherlands",3.8,77.40463415,5.7
1995,"NO",13,"Norway",3.1,77.73658537,4.6
1995,"NZ",3,"New Zealand",3.5,76.73414634,7.2
1995,"SE",51,"Sweden",2.7,78.7404878,4
1995,"SG",2,"Singapore",2.2,76.29512195,4
1995,"SK",0,"Slovak Republic",7.1,72.25365854,10.1
1995,"US",3321,"United States",5,75.62195122,7.9
1996,"AU",51,"Australia",3.7,78.07804878,5.6
1996,"BE",54,"Belgium",3.6,77.18731707,5.9
1996,"CA",180,"Canada",4,78.1804878,5.6
1996,"CH",99,"Switzerland",3.4,78.89609756,5
1996,"DE",419,"Germany",3,76.67317073,5
1996,"DK",57,"Denmark",3.8,75.59146341,5.2
1996,"FI",34,"Finland",2.9,76.69341463,4.1
1996,"FR",321,"France",3.1,77.95365854,5
1996,"GB",311,"United Kingdom",4,77.08780488,6
1996,"IE",4,"Ireland",4.1,75.83170732,6.1
1996,"IL",64,"Israel",4.2,78.10487805,6.7
1996,"IT",133,"Italy",4.5,78.52195122,6
1996,"JP",786,"Japan",2.1,80.2002439,3.9
1996,"NL",39,"Netherlands",3.7,77.43560976,5.5
1996,"NO",21,"Norway",2.9,78.1504878,4.4
1996,"NZ",7,"New Zealand",3.5,76.78780488,6.9
1996,"SE",59,"Sweden",2.6,78.95902439,3.8
1996,"SG",2,"Singapore",2.1,76.59512195,3.8
1996,"SK",0,"Slovak Republic",6.6,72.65365854,9.7
1996,"US",4343,"United States",4.9,76.02682927,7.7
1997,"AU",61,"Australia",3.6,78.4804878,5.4
1997,"BE",76,"Belgium",3.5,77.37073171,5.5
1997,"CA",216,"Canada",3.9,78.43170732,5.5
1997,"CH",128,"Switzerland",3.4,79.0795122,4.9
1997,"DE",543,"Germany",2.9,77.07317073,4.8
1997,"DK",87,"Denmark",3.8,75.94512195,5
1997,"FI",26,"Finland",2.8,76.87853659,3.9
1997,"FR",460,"France",3,78.30487805,4.8
1997,"GB",441,"United Kingdom",3.9,77.21097561,5.9
1997,"IE",9,"Ireland",4.1,75.98536585,6.1
